Date,Mean Temp (°C)
2024-04-05,-0.2
2024-04-06,1.8
2024-04-07,6.1
2024-04-08,5.8
2024-04-09,7
2024-04-10,3.4
2024-04-11,6.9
2024-04-12,8.5
2024-04-13,8.3
2024-04-14,7.5
2024-04-15,8.8
2024-04-16,-0.1
2024-04-17,-0.3
2024-04-18,-0.4
2024-04-19,-0.9
2024-04-20,2.6
2024-04-21,6.3
2024-04-22,8.9
2024-04-23,7.9
2024-04-24,
2024-04-25,8.5
2024-04-26,4.5
2024-04-27,9.1
2024-04-28,10.2
2024-04-29,5.8
2024-04-30,2.6
2024-05-01,1.5
2024-05-02,3.4
2024-05-03,5.4
2024-05-04,6.1
2024-05-05,8.2
2024-05-06,9.7
2024-05-07,5.5
2024-05-08,8.6
2024-05-09,11.8
2024-05-10,15.8
2024-05-11,15.3
2024-05-12,16.1
2024-05-13,12.5
2024-05-14,12.5
2024-05-15,12.8
2024-05-16,11.3
2024-05-17,6.5
2024-05-18,7.9
2024-05-19,7.2
2024-05-20,6.4
2024-05-21,9.4
2024-05-22,8.3
2024-05-23,8.5
2024-05-24,8.1
2024-05-25,9.2
2024-05-26,11
2024-05-27,12.2
2024-05-28,16.5
2024-05-29,11.5
2024-05-30,9.4
2024-05-31,10.2
2024-06-01,10.7
2024-06-02,13
2024-06-03,14.7
2024-06-04,12.2
2024-06-05,13.1
2024-06-06,12.1
2024-06-07,13.6
2024-06-08,9.9
2024-06-09,11.9
2024-06-10,17
2024-06-11,17.6
2024-06-12,13.5
2024-06-13,13.8
2024-06-14,18.6
2024-06-15,10.9
2024-06-16,9.9
2024-06-17,8.2
2024-06-18,7.8
2024-06-19,9
2024-06-20,12.8
2024-06-21,14.3
2024-06-22,16.6
2024-06-23,19.6
2024-06-24,16.1
2024-06-25,15.5
2024-06-26,16.8
2024-06-27,12.6
2024-06-28,13.8
2024-06-29,15.2
2024-06-30,15.9
2024-07-01,17
2024-07-02,15.4
2024-07-03,13.8
2024-07-04,15.8
2024-07-05,16.6
2024-07-06,18.5
2024-07-07,19.3
2024-07-08,21.9
2024-07-09,22.4
2024-07-10,25.5
2024-07-11,
2024-07-12,19.7
2024-07-13,19.8
2024-07-14,18.1
2024-07-15,20.7
2024-07-16,22.9
2024-07-17,24
2024-07-18,24.1
2024-07-19,24.3
2024-07-20,23.8
2024-07-21,24.2
2024-07-22,25.3
2024-07-23,25.4
2024-07-24,25.9
2024-07-25,17.6
2024-07-26,18.1
2024-07-27,15.7
2024-07-28,19.2
2024-07-29,19
2024-07-30,20.1
2024-07-31,
2024-08-01,22.5
2024-08-02,21.4
2024-08-03,21
2024-08-04,18.8
2024-08-05,18.2
2024-08-06,14.6
2024-08-07,15
2024-08-08,14.3
2024-08-09,16.8
2024-08-10,17.5
2024-08-11,17.7
2024-08-12,18.4
2024-08-13,18.1
2024-08-14,18.3
2024-08-15,18.1
2024-08-16,16.8
2024-08-17,18
2024-08-18,18.7
2024-08-19,21.8
2024-08-20,
2024-08-21,15
2024-08-22,16.6
2024-08-23,17.5
2024-08-24,16.2
2024-08-25,15.9
2024-08-26,16.6
2024-08-27,16.8
2024-08-28,9.8
2024-08-29,14.6
2024-08-30,17.1
2024-08-31,16.7
2024-09-01,19.9
2024-09-02,21.8
2024-09-03,20.3
2024-09-04,14.8
2024-09-05,17.8
2024-09-06,20.3
2024-09-07,20.6
2024-09-08,20.3
2024-09-09,20.3
2024-09-10,12.7
2024-09-11,11.1
2024-09-12,10.1
2024-09-13,14.9
2024-09-14,11.3
2024-09-15,11
2024-09-16,12.9
2024-09-17,13.2
2024-09-18,13.5
2024-09-19,12.7
2024-09-20,8.5
2024-09-21,8.4
2024-09-22,13.8
2024-09-23,14.7
2024-09-24,20.1
2024-09-25,
2024-09-26,12.8
2024-09-27,13
2024-09-28,
2024-09-29,8.9
2024-09-30,8.1
2024-10-01,12.2
2024-10-02,6.6
2024-10-03,6.8
2024-10-04,10.9
2024-10-05,8.6
2024-10-06,12.5
2024-10-07,13.8
2024-10-08,13.8
2024-10-09,7.1
2024-10-10,7.4
2024-10-11,5.8
2024-10-12,4.6
2024-10-13,9.9
2024-10-14,14.7
2024-10-15,11.5
2024-10-16,11.2
2024-10-17,4.3
2024-10-18,3.3
2024-10-19,12.5
2024-10-20,10.5
2024-10-21,1.5
2024-10-22,1.1
2024-10-23,5.8
2024-10-24,3.4
2024-10-25,1.7
2024-10-26,9.6
2024-10-27,11.5
2024-10-28,3.8
2024-10-29,1.6
